               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069676,            0.033575,            0.040736,             0.41865,             0.36321,              0.2187,             0.09498,            0.047057,            0.018341,            0.028341,             0.07008,           0.0033244,           0.0033244
                   1,            0.050642,            0.025454,            0.027167,             0.49564,             0.51778,             0.34646,              0.1682,            0.039452,            0.016687,            0.021935,            0.039421,           0.0059987,           0.0059987
                   2,            0.045033,            0.023996,              0.0231,             0.47281,             0.63164,              0.4372,             0.23704,            0.035493,             0.01596,            0.019331,           0.0081018,           0.0080129,           0.0080129
                   3,            0.039678,            0.022532,            0.020869,             0.39216,             0.67679,             0.48764,             0.27854,            0.033569,            0.016424,            0.018657,             0.00703,             0.00703,             0.00703
                   4,            0.037099,            0.022597,            0.018855,             0.71164,              0.5626,             0.56394,             0.30567,            0.034514,            0.015462,            0.014983,             0.00703,             0.00703,             0.00703
                   5,            0.034477,            0.021776,            0.017271,             0.63341,              0.6293,             0.59519,             0.36445,            0.030683,            0.015012,            0.014387,             0.00604,             0.00604,             0.00604
                   6,            0.032091,            0.021326,            0.015763,              0.5341,             0.75407,             0.66513,             0.39923,            0.030601,            0.014793,            0.013167,             0.00505,             0.00505,             0.00505
                   7,            0.030962,            0.021023,            0.014749,             0.64877,              0.7041,             0.69775,             0.44175,            0.029425,            0.014678,             0.01239,             0.00406,             0.00406,             0.00406
                   8,            0.029798,            0.020406,            0.013925,             0.64528,              0.7149,             0.71066,             0.45672,            0.029018,            0.014402,            0.011872,             0.00307,             0.00307,             0.00307
                   9,            0.028919,             0.02064,            0.013024,             0.69059,             0.70437,             0.73011,             0.47015,            0.028532,            0.014201,            0.011414,             0.00208,             0.00208,             0.00208
